,Date,Prediction,Actual
9507,2025-02-01,120.56084,116.64927673339844
9508,2025-02-02,115.76201,116.64927673339844
9509,2025-02-03,115.2962,116.64927673339844
9510,2025-02-04,115.785805,118.63909149169922
9511,2025-02-05,117.38519,124.81851959228516
9512,2025-02-06,122.31965,128.66815185546875
9513,2025-02-07,126.858,129.8280487060547
9514,2025-02-08,128.29987,133.55772399902344
9515,2025-02-09,130.51799,133.55772399902344
9516,2025-02-10,130.97145,133.55772399902344
9517,2025-02-11,130.66415,132.7877960205078
9518,2025-02-12,130.53278,131.12794494628906
9519,2025-02-13,128.96136,135.27755737304688
9520,2025-02-14,131.50105,138.8372344970703
9521,2025-02-15,135.72241,139.38717651367188
9522,2025-02-16,137.77875,139.38717651367188
9523,2025-02-17,137.42313,139.38717651367188
9524,2025-02-18,137.07619,139.38717651367188
9525,2025-02-19,136.97719,139.21719360351562
9526,2025-02-20,136.7794,140.0971221923828
9527,2025-02-21,137.52237,134.41763305664062
9528,2025-02-22,134.40825,130.2680206298828
9529,2025-02-23,129.95331,130.2680206298828
9530,2025-02-24,129.20995,130.2680206298828
9531,2025-02-25,129.70375,126.61835479736327
9532,2025-02-26,126.49522,131.26792907714844
9533,2025-02-27,128.46385,120.13895416259766
9534,2025-02-28,123.72093,124.90850830078124
9535,2025-03-01,120.93333,114.04950714111328
9536,2025-03-02,116.422714,114.04950714111328
9537,2025-03-03,114.48822,114.04950714111328
9538,2025-03-04,114.80876,115.97933197021484
9539,2025-03-05,113.917015,117.28921508789062
9540,2025-03-06,116.34672,110.55982971191406
9541,2025-03-07,111.47366,112.67964172363281
9542,2025-03-08,110.53481,106.97016143798828
9543,2025-03-09,107.32437,106.97016143798828
9544,2025-03-10,106.40849,106.97016143798828
9545,2025-03-11,106.6536,108.75
9546,2025-03-12,107.3241,115.73999786376952
9547,2025-03-13,113.32839,115.58000183105467
9548,2025-03-14,115.192024,121.66999816894533
9549,2025-03-15,118.73706,119.52999877929688
9550,2025-03-16,119.16237,119.52999877929688
9551,2025-03-17,118.24155,119.52999877929688
9552,2025-03-18,117.90869,115.43000030517578
9553,2025-03-19,114.61454,117.5199966430664
9554,2025-03-20,114.92466,118.52999877929688
9555,2025-03-21,116.21771,117.6999969482422
9556,2025-03-22,116.2382,121.41000366210938
9557,2025-03-23,118.85498,121.41000366210938
9558,2025-03-24,119.58189,121.41000366210938
9559,2025-03-25,119.3933,120.69000244140624
9560,2025-03-26,118.96981,113.76000213623048
9561,2025-03-27,114.171646,111.4300003051758
9562,2025-03-28,109.778404,109.66999816894533
9563,2025-03-29,108.474464,108.37999725341795
9564,2025-03-30,106.57436,108.37999725341795
9565,2025-03-31,106.6304,108.37999725341795
9566,2025-04-01,106.87916,110.15000152587892
9567,2025-04-02,108.66517,110.41999816894533
9568,2025-04-03,108.955536,101.8000030517578
9569,2025-04-04,102.717766,94.30999755859376
9570,2025-04-05,94.889725,97.63999938964844
9571,2025-04-06,93.384346,97.63999938964844
9572,2025-04-07,95.17145,97.63999938964844
9573,2025-04-08,95.654144,96.3000030517578
9574,2025-04-09,97.54913,114.33000183105467
9575,2025-04-10,107.4596,107.56999969482422
9576,2025-04-11,109.21666,110.9300003051758
9577,2025-04-12,108.744736,110.70999908447267
9578,2025-04-13,109.60939,110.70999908447267
9579,2025-04-14,109.50772,110.70999908447267
9580,2025-04-15,109.2292,112.1999969482422
9581,2025-04-16,109.59347,104.48999786376952
9582,2025-04-17,103.98526,101.48999786376952
9583,2025-04-18,100.34948,96.91000366210938
9584,2025-04-19,96.067024,96.91000366210938
9585,2025-04-20,95.77595,96.91000366210938
9586,2025-04-21,96.29869,96.91000366210938
9587,2025-04-22,96.616135,98.88999938964844
9588,2025-04-23,97.807884,102.70999908447266
9589,2025-04-24,101.71385,106.43000030517578
9590,2025-04-25,104.51645,111.01000213623048
9591,2025-04-26,108.54995,108.7300033569336
9592,2025-04-27,108.27876,108.7300033569336
9593,2025-04-28,107.1705,108.7300033569336
9594,2025-04-29,106.88534,109.0199966430664
9595,2025-04-30,106.86292,108.91999816894533
9596,2025-05-01,106.38049,111.61000061035156
9597,2025-05-02,109.7471,114.5
9598,2025-05-03,112.462036,113.81999969482422
9599,2025-05-04,112.43449,113.81999969482422
9600,2025-05-05,111.89112,113.81999969482422
9601,2025-05-06,111.686005,113.54000091552734
9602,2025-05-07,111.424736,117.05999755859376
9603,2025-05-08,113.95568,117.37000274658205
9604,2025-05-09,116.00995,116.6500015258789
9605,2025-05-10,115.34724,123.0
9606,2025-05-11,119.740456,123.0
9607,2025-05-12,121.04537,123.0
9608,2025-05-13,120.7085,129.92999267578125
9609,2025-05-14,125.297066,135.33999633789062
9610,2025-05-15,131.77176,134.8300018310547
9611,2025-05-16,132.80598,135.39999389648438
9612,2025-05-17,132.89087,135.57000732421875
9613,2025-05-18,132.30264,135.57000732421875
9614,2025-05-19,132.26411,135.57000732421875
9615,2025-05-20,132.23985,134.3800048828125
9616,2025-05-21,132.06464,131.8000030517578
9617,2025-05-22,130.1706,132.8300018310547
9618,2025-05-23,130.19371,131.2899932861328
9619,2025-05-24,129.39072,135.5
9620,2025-05-25,132.47566,135.5
9621,2025-05-26,133.45087,135.5
9622,2025-05-27,133.32259,135.5
9623,2025-05-28,133.0958,134.80999755859375
9624,2025-05-29,133.05266,139.19000244140625
9625,2025-05-30,136.61095,135.1300048828125
9626,2025-05-31,134.6356,137.3800048828125
9627,2025-06-01,134.3341,137.3800048828125
